Dialogue_ID,Utterance_ID,Speaker,Emotion,Utterance
0,0,Ses05M_impro01_F,neutral,Can I help you?
0,1,Ses05M_impro01_M,neutral,"Yes, I'm um- just getting my I.D.  I need a new I.D."
0,2,Ses05M_impro01_F,neutral,"Oh, this- this form that you have is the wrong form.  You need to go over to the other line on the other side of the D.M.V.."
0,3,Ses05M_impro01_M,neutral,What do you mean?  I filled out my forms and I rushed to get my I.D.
0,4,Ses05M_impro01_F,neutral,"Right, but this is the wrong form.  Somebody gave you the wrong form."
0,5,Ses05M_impro01_M,neutral,The wrong form?
0,6,Ses05M_impro01_F,neutral,"Yeah.  So, I can't -- I can't do anything-"
0,7,Ses05M_impro01_M,neutral,What's wrong about this form?  It says new I.D. on it.
0,8,Ses05M_impro01_F,neutral,"No, but this is for um- replacements and you need a new -- whole new license as a California --"
0,9,Ses05M_impro01_M,frustration,What's the difference?  What's the difference between that form and this form?
0,10,Ses05M_impro01_F,frustration,"Sir, don't get an attitude with me."
0,11,Ses05M_impro01_M,anger,"I'm not getting a -- well, you wait in this line and not get an attitude."
0,12,Ses05M_impro01_F,neutral,"No, I understand and there are a lot of people here.  But what I'm telling you is that it's different for different states and since your getting a new license in the state of California -- You have to fill out a different form than you did."
0,13,Ses05M_impro01_M,neutral,yeah.
0,14,Ses05M_impro01_M,neutral,right.
0,15,Ses05M_impro01_M,frustration,"Well then, when I showed them my I.D. before and I said I had to get a new I.D, why didn't they tell me to fill out the right form?"
0,16,Ses05M_impro01_F,frustration,I don't know.  I don't know who told you.  It wasn't me.
0,17,Ses05M_impro01_M,frustration,"Well, it was this girl standing right next to you.  Can we ask her why she didn't let me fill out the right form?"
0,18,Ses05M_impro01_F,frustration,"You- You can ask her if you want, but she's busy and she probably won't answer you."
0,19,Ses05M_impro01_M,neutral,This is ridiculous.  I've been here for forty five minutes. Just standing in this one line. I took fifteen minutes to fill out that form.
0,20,Ses05M_impro01_F,neutral,I know.
0,21,Ses05M_impro01_F,frustration,"Sir, you- I mean"
0,22,Ses05M_impro01_M,frustration,Do you know how long it's gonna take me to start all over and fill out the new form?
0,23,Ses05M_impro01_F,frustration,You can waist as much as you want
0,24,Ses05M_impro01_F,neutral,Yeah.  I know it's gonna take a minute.  But you-- so you might as well get started now.
0,25,Ses05M_impro01_M,frustration,Might as well get started now? but Just take this one.
0,26,Ses05M_impro01_F,frustration,"I can't take this one, sir. this is the wrong form."
0,27,Ses05M_impro01_M,frustration,Why can't we just -- you know what?  How about if we just pretend that I'm getting a -- renewing my California I.D. and we just don't tell anybody -- That I'm getting a new one from a different state?
0,28,Ses05M_impro01_F,frustration,"Sir, please don't waste my time."
0,29,Ses05M_impro01_F,frustration,There is nothing I can do about it.  You need to take this other form and fill it out and go stand in the other line.
0,30,Ses05M_impro01_M,frustration,"Come on!  You know -- you can't just take -- make a little exception to the rule?  I know that you guys make exceptions.  I see -- you know, if I was-if I was your friend and you knew me, or something like that, you'd probably make a little exception for me wouldn't you?"
0,31,Ses05M_impro01_F,frustration,"They're different forms, we process them all different-"
0,32,Ses05M_impro01_M,anger,"Wouldn't you? Oh, come on.  you just tell me.  You would make an exception for me."
0,33,Ses05M_impro01_F,frustration,I -- there's no way I'd make an exception.
0,34,Ses05M_impro01_F,frustration,"Sir, don't patronize me.  I can't make an exception.  I don't- I don't have the power to do that.  It's a different form."
0,35,Ses05M_impro01_M,frustration,Shh...I know you've got the power to do that.
0,36,Ses05M_impro01_F,frustration,They're processed differently.
0,37,Ses05M_impro01_M,frustration,That's crap- You're crap.  I don't buy it.
0,38,Ses05M_impro01_F,frustration,"Sir, you're gonna have to go stand in the other line."
0,39,Ses05M_impro01_M,frustration,I'm not leaving this line until I get my new I.D.  That's as simple as it is.  I'm not leaving this line until I get my new I.D.
0,40,Ses05M_impro01_F,anger,I'm gonna- I'm gonna bring security over and have them escort you out.
0,41,Ses05M_impro01_M,frustration,"Well, then you're just gonna look stupid because I'm just waiting for an I.D. and you're gonna make security take me out because I want my I.D."
0,42,Ses05M_impro01_M,frustration,That's just dumb.
0,43,Ses05M_impro01_F,frustration,But you filled out the wrong form and you're in the wrong line and you're wasting both of our times.
0,44,Ses05M_impro01_M,frustration,I filled out the wrong form because they made me fill out the wrong form!
0,45,Ses05M_impro01_F,anger,"Well, that's unfortunate, sir.  You're gonna have to go stand in the other line now."
0,46,Ses05M_impro01_M,frustration,"This is crap.  You know, I don't even know why I'm in this state.  Screw California.  I'm out of here."
1,0,Ses02M_script02_2_M,neutral,So what do you think?
1,1,Ses02M_script02_2_F,neutral,About what?
1,2,Ses02M_script02_2_M,neutral,What I was saying.
1,3,Ses02M_script02_2_F,frustration,It's ridiculous.
1,4,Ses02M_script02_2_M,neutral,Certainly it's not. Slightly exaggerated scientific fact.
1,5,Ses02M_script02_2_F,neutral,It's PR. Someone sold you a bill of goods that this wonderful event is going to take place on the beach.
1,6,Ses02M_script02_2_M,neutral,"Well, I'm not the only one look at all these people."
1,7,Ses02M_script02_2_F,neutral,"Yea, sure everyone was sold the same story. I mean it keeps us all excited, keeps us coming back for more, keeps us thinking that life is going to start any second now if we can just get in on the action and find the right spot."
1,8,Ses02M_script02_2_M,neutral,Are we talking about the same thing?
1,9,Ses02M_script02_2_F,neutral,I'm sorry but it's still just fish to me.
1,10,Ses02M_script02_2_M,frustration,"Carla, can I ask you something? Don't take this wrong but are you having your period?"
1,11,Ses02M_script02_2_F,anger,Goddamn it Augie don't ask me that. I hate it when you ask me that. You always ask me that. It's insulting.
1,12,Ses02M_script02_2_M,frustration,"Well, what's bugging you?"
1,13,Ses02M_script02_2_F,anger,We just have different ideas of what this evening is supposed to look like.
1,14,Ses02M_script02_2_M,frustration,"There is nothing to it, we come here, the Grunion arrive, then do their little fish business, we go oh ah look, they go home, we go home."
1,15,Ses02M_script02_2_F,frustration,For heavens sake we are not going to see the Grunions.
1,16,Ses02M_script02_2_M,frustration,Why not?
1,17,Ses02M_script02_2_F,frustration,"We never do, do we? I mean have we ever?"
1,18,Ses02M_script02_2_M,frustration,We've missed them twice; that's not ever.
1,19,Ses02M_script02_2_F,frustration,"Twice is every time we've tried, that's ever."
1,20,Ses02M_script02_2_M,neutral,"Well, we'll see them this year."
1,21,Ses02M_script02_2_F,frustration,"No we won't; it's pointless. It's like waiting up to see Santa Claus,"
